name,abbr,liver,kidney,smiles,inchikey,connectivity
carbamazepine,CBZ,True,False,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N,FFGPTBGBLSHEPO
carbon tetrachloride,CCL4,True,False,C(Cl)(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,VZGDMQKNWNREIO
carboplatin,CBP,True,True,C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+2],CCQPAEQGAVNNIA-UHFFFAOYSA-N,CCQPAEQGAVNNIA
cephalothin,CLT,True,True,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,XIURVHNZVLADCM-IUODEOHRSA-N,XIURVHNZVLADCM
chloramphenicol,CMP,True,False,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],WIIZWVCIJKGZOK-RKDXNWHRSA-N,WIIZWVCIJKGZOK
chlormadinone,CLM,True,False,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)O,VUHJZBBCZGVNDZ-TTYLFXKOSA-N,VUHJZBBCZGVNDZ
chlormezanone,CMN,True,False,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,WEQAYVWKMWHEJO-UHFFFAOYSA-N,WEQAYVWKMWHEJO
chlorpheniramine,CHL,True,False,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,SOYKEARSMXGVTM-UHFFFAOYSA-N,SOYKEARSMXGVTM
chlorpromazine,CPZ,True,False,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,ZPEIMTDSQAKGNT
chlorpropamide,CPP,True,False,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,RKWGIWYCVPQPMF-UHFFFAOYSA-N,RKWGIWYCVPQPMF
cimetidine,CIM,True,False,CC1=C(N=CN1)CSCCNC(=NC)NC#N,AQIXAKUUQRKLND-UHFFFAOYSA-N,AQIXAKUUQRKLND
