name,smiles,inchikey,connectivity
ANGIOTENSIN II HUMAN,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N,CZGUSIXMZVURDU-JZXHSEFVSA-N,CZGUSIXMZVURDU
ANISINDIONE,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,XRCFXMGQEVUZFC-UHFFFAOYSA-N,XRCFXMGQEVUZFC
ANTIPYRINE,CC1=CC(=O)N(N1C)C2=CC=CC=C2,VEQOALNAAJBPNY-UHFFFAOYSA-N,VEQOALNAAJBPNY
ARTEMETHER,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,SXYIRMFQILZOAM-HVNFFKDJSA-N,SXYIRMFQILZOAM
ARTEMISININ,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,BLUAFEHZUWYNDE-NNWCWBAJSA-N,BLUAFEHZUWYNDE
ASCORBIC ACID,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,CIWBSHSKHKDKBQ
ASPIRIN,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ
ATENOLOL,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,METKIMKYRPQLGS-UHFFFAOYSA-N,METKIMKYRPQLGS
ATORVASTATIN,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,XUKUURHRXDUEBC-KAYWLYCHSA-N,XUKUURHRXDUEBC
ATROPINE,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,RKUNBYITZUJHSG-PJPHBNEVSA-N,RKUNBYITZUJHSG
AURANOFIN,CCP(CC)CC.CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],SFOZKJGZNOBSHF-RGDJUOJXSA-N,SFOZKJGZNOBSHF
AZARIBINE,CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C(=O)NC(=O)C=N2)OC(=O)C)OC(=O)C,QQOBRRFOVWGIMD-OJAKKHQRSA-N,QQOBRRFOVWGIMD
AZASETRON,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4,WUKZPHOXUVCQOR-UHFFFAOYSA-N,WUKZPHOXUVCQOR
AZATHIOPRINE,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],LMEKQMALGUDUQG-UHFFFAOYSA-N,LMEKQMALGUDUQG
AZAURIDINE,C1=NN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,WYXSYVWAUAUWLD-SHUUEZRQSA-N,WYXSYVWAUAUWLD
AZITHROMYCIN,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N,MQTOSJVFKKJCRP
AZLOCILLIN,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,JTWOMNBEOCYFNV-NFFDBFGFSA-N,JTWOMNBEOCYFNV
AZTREONAM,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,WZPBZJONDBGPKJ
BACITRACIN,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4,CLKOFPXJLQSYAH-ABRJDSQDSA-N,CLKOFPXJLQSYAH
BACLOFEN,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,KPYSYYIEGFHWSV-UHFFFAOYSA-N,KPYSYYIEGFHWSV
BALSALAZIDE,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,IPOKCKJONYRRHP-UHFFFAOYSA-N,IPOKCKJONYRRHP
BENAZEPRIL,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O,XPCFTKFZXHTYIP-PMACEKPBSA-N,XPCFTKFZXHTYIP
BENOXAPROFEN,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,MITFXPHMIHQXPI-UHFFFAOYSA-N,MITFXPHMIHQXPI
