sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393933,S020401-163_ZILEUTON_450 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96572.CEL,Zileuton,450 mg/kg,3 d,Corn Oil,Liver,False,MWLSOWXNZPKENC,True,True,drugmatrix_liver
GSM1393934,S020923-092_STREPTOZOTOCIN_138 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96573.CEL,Streptozotocin,138 mg/kg,3 d,Saline,Liver,False,ZSJLQEPLLKMAKR,True,True,drugmatrix_liver
GSM1393935,S011211-278_PROCARBAZINE_54 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96574.CEL,Procarbazine,54 mg/kg,0.25 d,Water,Liver,False,CPTBDICYNRMXFX,True,True,drugmatrix_liver
GSM1393936,CVD040520-118_N-NITROSODIMETHYLAMINE_10 mg/kg_INTRAPERITONEAL_SALINE_5 d_Male_96575.CEL,N-Nitrosodimethylamine,10 mg/kg,5 d,Saline,Liver,False,UMFJAHHVKNCGLG,True,True,drugmatrix_liver
GSM1393937,S011106-271_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96576.CEL,Doxorubicin,0.65 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393938,S011002-032_INTRAPERITONEAL_SALINE_3 d_Male_96577.CEL,,0 mg/kg,6 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393939,CVD040520-015_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96578.CEL,Allyl Alcohol,16 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393940,S011106-280_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96579.CEL,Doxorubicin,3 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393941,S011106-284_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96580.CEL,Doxorubicin,3 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393942,S011002-082_CLOFIBRATE_500 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96581.CEL,Clofibrate,500 mg/kg,7 d,Corn Oil,Liver,False,KNHUKKLJHYUCFP,True,True,drugmatrix_liver
